"NAICS.4","NAICS.6","NAICS.Industry"
2111,"211100","Oil and Gas Extraction"
2111,"211111","Crude Petroleum and Natural Gas Extraction"
3251,"325100","Basic Chemical Manufacturing"
3251,"325110","Petrochemical Manufacturing"
3251,"325120","Industrial Gas Manufacturing"
3251,"325131","Inorganic Dye and Pigment Manufacturing"
3251,"325182","Carbon Black Manufacturing"
3251,"325188","All Other Basic Inorganic Chemical Manufacturing"
3251,"325192","Cyclic Crude and Intermediate Manufacturing"
3251,"325199","All Other Basic Organic Chemical Manufacturing"
3252,"325211","Plastics Material and Resin Manufacturing"
3252,"325212","Synthetic Rubber Manufacturing"
3254,"325400","Pharmaceutical and Medicine Manufacturing"
3254,"325411","Medicinal and Botanical Manufacturing"
3254,"325412","Pharmaceutical Preparation Manufacturing"
3254,"325413","In-Vitro Diagnostic Substance Manufacturing"
3254,"325414","Biological Product (except Diagnostic) Manufacturing"
3332,"333200","Industrial Machinery Manufacturing"
3332,"333210","Sawmill and Woodworking Machinery Manufacturing"
3332,"333220","Plastics and Rubber Industry Machinery Manufacturing"
3332,"333292","Textile Machinery Manufacturing"
3332,"333293","Printing Machinery and Equipment Manufacturing"
3332,"333294","Food Product Machinery Manufacturing"
3332,"333295","Semiconductor Machinery Manufacturing"
3332,"333298","All Other Industrial Machinery Manufacturing"
3333,"333300","Commercial and Service Industry Machinery Manufacturing"
3333,"333313","Office Machinery Manufacturing"
3333,"333314","Optical Instrument and Lens Manufacturing"
3333,"333315","Photographic and Photocopying Equipment Manufacturing"
3333,"333319","Other Commercial and Service Industry Machinery Manufacturing"
3341,"334100","Computer and Peripheral Equipment Manufacturing"
3341,"334111","Electronic Computer Manufacturing"
3341,"334113","Computer Terminal Manufacturing"
3341,"334119","Other Computer Peripheral Equipment Manufacturing"
3342,"334200","Communications Equipment Manufacturing"
3342,"334210","Telephone Apparatus Manufacturing"
3342,"334220","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing"
3342,"334290","Other Communications Equipment Manufacturing"
3343,"334300","Audio and Video Equipment Manufacturing"
3343,"334310","Audio and Video Equipment Manufacturing"
3344,"334400","Semiconductor and Other Electronic Component Manufacturing"
3344,"334412","Bare Printed Circuit Board Manufacturing"
3344,"334413","Semiconductor and Related Device Manufacturing"
3344,"334414","Electronic Capacitor Manufacturing"
3344,"334415","Electronic Resistor Manufacturing"
3344,"334417","Electronic Connector Manufacturing"
3344,"334418","Printed Circuit Assembly (Electronic Assembly) Manufacturing"
3344,"334419","Other Electronic Component Manufacturing"
3345,"334500","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
3345,"334510","Electromedical and Electrotherapeutic Apparatus Manufacturing"
3345,"334511","Search, Detection, Navigation, Guidance, Aeronautical, and  Nautical System and Instrument Manufacturing"
3345,"334512","Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
3345,"334513","Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
3345,"334513","Variables  Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process"
3345,"334514","Totalizing Fluid Meter and Counting Device Manufacturing"
3345,"334515","Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals"
3345,"334516","Analytical Laboratory Instrument Manufacturing"
3345,"334517","Irradiation Apparatus Manufacturing"
3345,"334519","Other Measuring and Controlling Device Manufacturing"
3361,"336111","Automobile Manufacturing"
3361,"336112","Light Truck and Utility Vehicle Manufacturing"
3361,"336120","Heavy Duty Truck Manufacturing"
3362,"336211","Motor Vehicle Body Manufacturing"
3362,"336212","Truck Trailer Manufacturing"
3362,"336214","Travel Trailer and Camper Manufacturing"
3363,"336312","Gasoline Engine and Engine Parts Manufacturing"
3363,"336322","Other Motor Vehicle Electrical and Electronic Equipment Manufacturing"
3363,"336340","Motor Vehicle Brake System Manufacturing"
3363,"336350","Motor Vehicle Transmission and Power Train Parts Manufacturing"
3363,"336399","All Other Motor Vehicle Parts Manufacturing"
3364,"336400","Aerospace Product and Parts Manufacturing"
3364,"336411","Aircraft Manufacturing"
3364,"336412","Aircraft Engine and Engine Parts Manufacturing"
3364,"336413","Other Aircraft Part and Auxiliary Equipment Manufacturing"
3364,"336419","Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing"
4234,"423400","Professional and Commercial Equipment and Supplies Merchant Wholesalers"
5112,"511200","Software Publishers"
5112,"511210"," Software Publishers"
5112,"511210","Software Publishers"
5161,"516100","Internet Publishing and Broadcasting"
5179,"517900","Other Telecommunications"
5181,"518100","Internet Service Providers and Web Search Portals"
5181,"518111","Internet Service Providers"
5182,"518200","Data Processing, Hosting, and Related Services"
5413,"541300","Architectural, Engineering, and Related Services"
5413,"541310","Architectural  Services"
5413,"541310","Architectural Services"
5413,"541330","Engineering Services"
5413,"541370","Surveying and Mapping (except Geophysical) Services"
5413,"541380","Testing Laboratories"
5415,"541500","Computer Systems Design and Related Services"
5415,"541511","Custom Computer Programming Services"
5415,"541512","Computer Systems Design Services"
5416,"541600","Management, Scientific, and Technical Consulting Services"
5417,"541700","Scientific Research and Development Services"
5417,"541710","Research and Development in the Physical, Engineering, and Life Sciences"
5417,"541720","Research and Development in the Social Sciences and Humanities"
